800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			915 Superficial injury of finger(s)
			915.0 Abrasion or friction burn of finger(s), without mention of infection
			915.1 Abrasion or friction burn of finger(s), infected
			915.2 Blister of finger(s), without mention of infection
			915.3 Blister of finger(s), infected
			915.4 Insect bite, nonvenomous, of finger(s), without mention of infection
			915.5 Insect bite, nonvenomous of finger(s), infected
			915.6 Superficial foreign body (splinter) of finger(s), without major open wound and without mention of infection
			915.7 Superficial foreign body (splinter) of finger(s), without major open wound, infected
			915.8 Other and unspecified superficial injury of fingers without mention of infection
			915.9 Other and unspecified superficial injury of fingers, infected
		916 Superficial injury of hip thigh leg and ankle
			916 Superficial injury of hip thigh leg and ankle
			916.0 Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection
			916.1 Abrasion or friction burn of hip, thigh, leg, and ankle, infected
			916.2 Blister of hip, thigh, leg, and ankle, without mention of infection
			916.3 Blister of hip, thigh, leg, and ankle, infected
			916.4 Insect bite, nonvenomous, of hip, thigh, leg, and ankle, without mention of infection
			916.5 Insect bite, nonvenomous of hip, thigh, leg, and ankle, infected
			916.6 Superficial foreign body (splinter) of hip, thigh, leg, and ankle, without major open wound and without mention of infection
			916.7 Superficial foreign body (splinter) of hip, thigh, leg, and ankle, without major open wound, infected
			916.8 Other and unspecified superficial injury of hip, thigh, leg, and ankle, without mention of infection
			916.9 Other and unspecified superficial injury of hip, thigh, leg, and ankle, infected
		917 Superficial injury of foot and toe(s)
			917 Superficial injury of foot and toe(s)
			917.0 Abrasion or friction burn of foot and toe(s), without mention of infection
			917.1 Abrasion or friction burn of foot and toe(s), infected
			917.2 Blister of foot and toe(s), without mention of infection
			917.3 Blister of foot and toe(s), infected
			917.4 Insect bite, nonvenomous, of foot and toe(s), without mention of infection
			917.5 Insect bite, nonvenomous, of foot and toe(s), infected
			917.6 Superficial foreign body (splinter) of foot and toe(s), without major open wound and without mention of infection
			917.7 Superficial foreign body (splinter) of foot and toe(s), without major open wound, infected
			917.8 Other and unspecified superficial injury of foot and toes, without mention of infection
			917.9 Other and unspecified superficial injury of foot and toes, infected
		918 Superficial injury of eye and adnexa
			918 Superficial injury of eye and adnexa
			918.0 Superficial injury of eyelids and periocular area
			918.1 Superficial injury of cornea
			918.2 Superficial injury of conjunctiva
			918.9 Other and unspecified superficial injuries of eye
		919 Superficial injury of other multiple and unspecified sites
			919 Superficial injury of other multiple and unspecified sites
			919.0 Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection
			919.1 Abrasion or friction burn of other, multiple, and unspecified sites, infected
			919.2 Blister of other, multiple, and unspecified sites, without mention of infection
			919.3 Blister of other, multiple, and unspecified sites, infected
			919.4 Insect bite, nonvenomous, of other, multiple, and unspecified sites, without mention of infection
			919.5 Insect bite, nonvenomous, of other, multiple, and unspecified sites, infected
			919.6 Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound and without mention of infection
			919.7 Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound, infected
			919.8 Other and unspecified superficial injury of other, multiple, and unspecified sites, without mention of infection
			919.9 Other and unspecified superficial injury of other, multiple, and unspecified sites, infected
	920-924 Contusion With Intact Skin Surface
		920 Contusion of face, scalp, and neck except eye(s)
			920 Contusion of face, scalp, and neck except eye(s)
		921 Contusion of eye and adnexa
			921 Contusion of eye and adnexa
			921.0 Black eye, not otherwise specified
			921.1 Contusion of eyelids and periocular area
			921.2 Contusion of orbital tissues
			921.3 Contusion of eyeball
			921.9 Unspecified contusion of eye
		922 Contusion of trunk
			922 Contusion of trunk
			922.0 Contusion of breast
			922.1 Contusion of chest wall
			922.2 Contusion of abdominal wall
			922.3 Contusion of back
			922.31 Contusion of back
			922.32 Contusion of buttock
			922.33 Contusion of interscapular region
			922.4 Contusion of genital organs
			922.8 Contusion of multiple sites of trunk
			922.9 Contusion of unspecified part of trunk
		923 Contusion of upper limb
			923 Contusion of upper limb
			923.0 Contusion of shoulder and upper arm
			923.00 Contusion of shoulder region
			923.01 Contusion of scapular region
			923.02 Contusion of axillary region
			923.03 Contusion of upper arm
			923.09 Contusion of multiple sites of shoulder and upper arm
			923.1 Contusion of elbow and forearm
			923.10 Contusion of forearm
			923.11 Contusion of elbow
			923.2 Contusion of wrist and hand(s) except finger(s) alone
			923.20 Contusion of hand(s)
			923.21 Contusion of wrist
			923.3 Contusion of finger
			923.8 Contusion of multiple sites of upper limb
			923.9 Contusion of unspecified part of upper limb
		924 Contusion of lower limb and of other and unspecified sites
			924 Contusion of lower limb and of other and unspecified sites
			924.0 Contusion of hip and thigh
			924.00 Contusion of thigh
			924.01 Contusion of hip
			924.1 Contusion of knee and lower leg
			924.10 Contusion of lower leg
			924.11 Contusion of knee
			924.2 Contusion of ankle and foot excluding toe(s)
			924.20 Contusion of foot
			924.21 Contusion of ankle
			924.3 Contusion of toe
			924.4 Contusion of multiple sites of lower limb
			924.5 Contusion of unspecified part of lower limb
			924.8 Contusion of multiple sites, not elsewhere classified
			924.9 Contusion of unspecified site
	925-929 Crushing Injury
		925 Crushing injury of face scalp and neck
			925 Crushing injury of face scalp and neck
			925.1 Crushing injury of face and scalp
			925.2 Crushing injury of neck
		926 Crushing injury of trunk
			926 Crushing injury of trunk
			926.0 Crushing injury of external genitalia
			926.1 Crushing injury of other specified sites of trunk
			926.11 Crushing injury of back
			926.12 Crushing injury of buttock
			926.19 Crushing injury of other specified sites of trunk
			926.8 Crushing injury of multiple sites of trunk
			926.9 Crushing injury of unspecified site of trunk
		927 Crushing injury of upper limb
			927 Crushing injury of upper limb
			927.0 Crushing injury of shoulder and upper arm
			927.00 Crushing injury of shoulder region
			927.01 Crushing injury of scapular region
			927.02 Crushing injury of axillary region
			927.03 Crushing injury of upper arm
			927.09 Crushing injury of multiple sites of upper arm
			927.1 Crushing injury of elbow and forearm
			927.10 Crushing injury of forearm
			927.11 Crushing injury of elbow
			927.2 Crushing injury of wrist and hand(s) except finger(s) alone
			927.20 Crushing injury of hand(s)
			927.21 Crushing injury of wrist
			927.3 Crushing injury of finger(s)
			927.8 Crushing injury of multiple sites of upper limb
			927.9 Crushing injury of unspecified site of upper limb
		928 Crushing injury of lower limb
			928 Crushing injury of lower limb
			928.0 Crushing injury of hip and thigh
			928.00 Crushing injury of thigh
			928.01 Crushing injury of hip
			928.1 Crushing injury of knee and lower leg
			928.10 Crushing injury of lower leg
